がく片,がく片幅,花びら,花びら幅,あやめ
5,3.3,1.4,0.2,セトナ
6.4,2.8,5.6,2.2,バージニカ
6.5,2.8,4.6,1.5,バーシクル
6.7,3.1,5.6,2.4,バージニカ
6.3,2.8,5.1,1.5,バージニカ
4.6,3.4,1.4,0.3,セトナ
6.9,3.1,5.1,2.3,バージニカ
6.2,2.2,4.5,1.5,バーシクル
5.9,3.2,4.8,1.8,バーシクル
4.6,3.6,1,0.2,セトナ
6.1,3,4.6,1.4,バーシクル
6,2.7,5.1,1.6,バーシクル
6.5,3,5.2,2,バージニカ
5.6,2.5,3.9,1.1,バーシクル
6.5,3,5.5,1.8,バージニカ
5.8,2.7,5.1,1.9,バージニカ
6.8,3.2,5.9,2.3,バージニカ
5.1,3.3,1.7,0.5,セトナ
5.7,2.8,4.5,1.3,バーシクル
6.2,3.4,5.4,2.3,バージニカ
7.7,3.8,6.7,2.2,バージニカ
6.3,3.3,4.7,1.6,バーシクル
6.7,3.3,5.7,2.5,バージニカ
7.6,3,6.6,2.1,バージニカ
4.9,2.5,4.5,1.7,バージニカ
5.5,3.5,1.3,0.2,セトナ
6.7,3,5.2,2.3,バージニカ
7,3.2,4.7,1.4,バーシクル
6.4,3.2,4.5,1.5,バーシクル
6.1,2.8,4,1.3,バーシクル
4.8,3.1,1.6,0.2,セトナ
5.9,3,5.1,1.8,バージニカ
5.5,2.4,3.8,1.1,バーシクル
6.3,2.5,5,1.9,バージニカ
6.4,3.2,5.3,2.3,バージニカ
5.2,3.4,1.4,0.2,セトナ
4.9,3.6,1.4,0.1,セトナ
5.4,3,4.5,1.5,バーシクル
7.9,3.8,6.4,2,バージニカ
4.4,3.2,1.3,0.2,セトナ
6.7,3.3,5.7,2.1,バージニカ
5,3.5,1.6,0.6,セトナ
5.8,2.6,4,1.2,バーシクル
4.4,3,1.3,0.2,セトナ
7.7,2.8,6.7,2,バージニカ
6.3,2.7,4.9,1.8,バージニカ
4.7,3.2,1.6,0.2,セトナ
5.5,2.6,4.4,1.2,バーシクル
7.2,3.2,6,1.8,バージニカ
4.8,3,1.4,0.3,セトナ
5.1,3.8,1.6,0.2,セトナ
6.1,3,4.9,1.8,バージニカ
4.8,3.4,1.9,0.2,セトナ
5,3,1.6,0.2,セトナ
5,3.2,1.2,0.2,セトナ
6.1,2.6,5.6,1.4,バージニカ
6.4,2.8,5.6,2.1,バージニカ
4.3,3,1.1,0.1,セトナ
5.8,4,1.2,0.2,セトナ
5.1,3.8,1.9,0.4,セトナ
6.7,3.1,4.4,1.4,バーシクル
6.2,2.8,4.8,1.8,バージニカ
4.9,3,1.4,0.2,セトナ
5.1,3.5,1.4,0.2,セトナ
5.6,3,4.5,1.5,バーシクル
5.8,2.7,4.1,1,バーシクル
5,3.4,1.6,0.4,セトナ
4.6,3.2,1.4,0.2,セトナ
6,2.9,4.5,1.5,バーシクル
5.7,2.6,3.5,1,バーシクル
5.7,4.4,1.5,0.4,セトナ
5,3.6,1.4,0.2,セトナ
7.7,3,6.1,2.3,バージニカ
6.3,3.4,5.6,2.4,バージニカ
5.8,2.7,5.1,1.9,バージニカ
5.7,2.9,4.2,1.3,バーシクル
7.2,3,5.8,1.6,バージニカ
5.4,3.4,1.5,0.4,セトナ
5.2,4.1,1.5,0.1,セトナ
7.1,3,5.9,2.1,バージニカ
6.4,3.1,5.5,1.8,バージニカ
6,3,4.8,1.8,バージニカ
6.3,2.9,5.6,1.8,バージニカ
4.9,2.4,3.3,1,バーシクル
5.6,2.7,4.2,1.3,バーシクル
5.7,3,4.2,1.2,バーシクル
5.5,4.2,1.4,0.2,セトナ
4.9,3.1,1.5,0.2,セトナ
7.7,2.6,6.9,2.3,バージニカ
6,2.2,5,1.5,バージニカ
5.4,3.9,1.7,0.4,セトナ
6.6,2.9,4.6,1.3,バーシクル
5.2,2.7,3.9,1.4,バーシクル
6,3.4,4.5,1.6,バーシクル
5,3.4,1.5,0.2,セトナ
4.4,2.9,1.4,0.2,セトナ
5,2,3.5,1,バーシクル
5.5,2.4,3.7,1,バーシクル
5.8,2.7,3.9,1.2,バーシクル
4.7,3.2,1.3,0.2,セトナ
4.6,3.1,1.5,0.2,セトナ
6.9,3.2,5.7,2.3,バージニカ
6.2,2.9,4.3,1.3,バーシクル
7.4,2.8,6.1,1.9,バージニカ
5.9,3,4.2,1.5,バーシクル
5.1,3.4,1.5,0.2,セトナ
5,3.5,1.3,0.3,セトナ
5.6,2.8,4.9,2,バージニカ
6,2.2,4,1,バーシクル
7.3,2.9,6.3,1.8,バージニカ
6.7,2.5,5.8,1.8,バージニカ
4.9,3.1,1.5,0.1,セトナ
6.7,3.1,4.7,1.5,バーシクル
6.3,2.3,4.4,1.3,バーシクル
5.4,3.7,1.5,0.2,セトナ
5.6,3,4.1,1.3,バーシクル
6.3,2.5,4.9,1.5,バーシクル
6.1,2.8,4.7,1.2,バーシクル
6.4,2.9,4.3,1.3,バーシクル
5.1,2.5,3,1.1,バーシクル
5.7,2.8,4.1,1.3,バーシクル
6.5,3,5.8,2.2,バージニカ
6.9,3.1,5.4,2.1,バージニカ
5.4,3.9,1.3,0.4,セトナ
5.1,3.5,1.4,0.3,セトナ
7.2,3.6,6.1,2.5,バージニカ
6.5,3.2,5.1,2,バージニカ
6.1,2.9,4.7,1.4,バーシクル
5.6,2.9,3.6,1.3,バーシクル
6.9,3.1,4.9,1.5,バーシクル
6.4,2.7,5.3,1.9,バージニカ
6.8,3,5.5,2.1,バージニカ
5.5,2.5,4,1.3,バーシクル
4.8,3.4,1.6,0.2,セトナ
4.8,3,1.4,0.1,セトナ
4.5,2.3,1.3,0.3,セトナ
5.7,2.5,5,2,バージニカ
5.7,3.8,1.7,0.3,セトナ
5.1,3.8,1.5,0.3,セトナ
5.5,2.3,4,1.3,バーシクル
6.6,3,4.4,1.4,バーシクル
6.8,2.8,4.8,1.4,バーシクル
5.4,3.4,1.7,0.2,セトナ
5.1,3.7,1.5,0.4,セトナ
5.2,3.5,1.5,0.2,セトナ
5.8,2.8,5.1,2.4,バージニカ
6.7,3,5,1.7,バーシクル
6.3,3.3,6,2.5,バージニカ
5.3,3.7,1.5,0.2,セトナ
5,2.3,3.3,1,バーシクル
